Champions HP HP HP5 HP5 MP MP MP5 MP5 AD AD AS AS AR AR MR MR MS Range

Nami,489.32,74,5.42,0.55,377.24,43,9,0.4,51.208,3.1,0.644,2.61,19.72,4,30,0,335,550
Nasus,561.2,90,9.01,0.9,275.6,45,7.44,0.5,59.18,3.5,0.638,3.48,24.88,3.5,32.1,1.25,350,125
Nautilus,576.48,86,8.37,0.55,284,50,8.625,0.7,57.544,3.3,0.613,1,26.46,3.25,32.1,1.25,325,175
Nidalee,541.2,90,6.005,0.6,295.6,45,6,0.8,47.88,3.5,0.638,3.22,22.88,3.5,30,0,335,525
Nocturne,582.8,85,8.26,0.75,273.8,35,6.755,0.45,59.208,3.1,0.668,2.7,26.88,3.5,32.1,1.25,345,125
Nunu,598.28,96,8.39,0.8,283.56,42,7.44,0.5,56.856,3.45,0.625,2.25,26.38,3.5,32.1,1.25,350,125
Olaf,597.24,93,8.51,0.9,265.6,45,7.465,0.575,59.98,3.5,0.694,2.7,26.04,3,32.1,1.25,350,125
Orianna,517.72,79,6.87,0.55,334,50,6,0.8,40.368,2.6,0.658,3.5,17.04,3,30,0,325,525
Pantheon,579.16,87,7.84,0.65,267.12,34,7.355,0.45,55.572,2.9,0.679,2.95,27.652,3.9,32.1,1.25,355,150
Poppy,559.08,81,8.37,0.55,235.4,30,7.155,0.45,61.97,3.375,0.638,3.35,28.72,4,30,0,345,125
Quinn,532.8,85,5.42,0.55,268.8,35,6.97,0.4,51.04,3,0.668,3.1,23.38,3.5,30,0,335,525
Rammus,564.48,86,7.92,0.55,310.44,33,7.84,0.5,55.88,3.5,0.625,2.215,31.384,3.8,32.1,1.25,335,125
Rek'Sai,611.2,90,7.35,0.65,0,0,0,0,55.628,3.35,0.667,2,28.3,3.75,32.1,1.25,335,175
Renekton,572.16,87,7.96,0.75,100,0,0,0,58.328,3.1,0.665,2.65,25.584,3.8,32.1,1.25,345,125
Rengar,586.2,90,4.27,0.4,5,0,0,0,60.04,3,0.679,2.85,25.88,3.5,32.1,1.25,345,125
Riven,558.48,86,3.34,0.5,0,0,0,0,56.04,3,0.625,3.5,24.376,3.2,32.1,1.25,345,125
Rumble,584.4,80,8.005,0.6,100,0,0,0,61.036,3.2,0.644,1.85,25.88,3.5,32.1,1.25,345,125
Ryze,558.48,86,5.27,0.55,342.4,55,6,0.8,55.04,3,0.625,2.112,21.552,3.9,30,0,340,550
Sejuani,600,95,8.675,0.85,400,40,7.205,0.45,57.544,3.3,0.670,1.44,29.54,3,32.1,1.25,340,125
Shaco,582.12,84,8.37,0.55,297.2,40,7.155,0.45,57.58,3.5,0.694,3,24.88,3.5,32.1,1.25,350,125
Shen,570.8,85,8.37,0.55,200,0,50,0,60.17,3.375,0.651,3.4,25.72,4,30,0,335,125
Shyvana,594.6,95,8.59,0.8,100,0,0,0,60.712,3.4,0.658,2.5,27.628,3.35,32.1,1.25,350,125
Singed,542.76,82,8.02,0.55,290.6,45,7.52,0.55,62.32,3.375,0.613,1.81,27.88,3.5,30,0,345,125
Sion,542.64,73,10.18,0.8,275.6,45,8.005,0.6,59.72,4,0.679,1.3,23.04,3,32.1,1.25,345,150
Sivir,515.76,82,5.17,0.55,284,50,8.01,0.9,52.04,3,0.658,1.6,22.21,3.25,30,0,335,500
Skarner,601.28,96,8.925,0.85,272.2,40,7.205,0.45,61.156,4.2,0.625,2.1,29.384,3.8,32.1,1.25,345,125
Sona,482.36,77,5.42,0.55,340.6,45,9,0.4,50.04,3,0.644,2.3,20.544,3.3,30,0,325,550
Soraka,529.04,78,2.5,0.5,350.8,60,9,0.4,50.04,3,0.625,2.14,23.384,3.8,30,0,325,550
Swain,516.04,78,7.84,0.65,324,50,6,0.8,52.04,3,0.625,2.11,22.72,4,30,0,335,500
Syndra,511.04,78,6.505,0.6,334,50,6,0.8,53.872,2.9,0.625,2,24.712,3.4,30,0,330,550
Talon,582.8,85,8.51,0.75,327.2,40,7.59,0.5,55.208,3.1,0.668,2.7,26.88,3.5,32.1,1.25,350,125
Taric,619.2,90,7.94,0.5,349.08,56,6,0.8,57.88,3.5,0.625,2.02,25.876,3.2,32.1,1.25,340,125
Teemo,515.76,82,5.74,0.65,267.2,40,7.205,0.45,47.54,3,0.690,3.38,24.3,3.75,30,0,330,500
Thresh,560.52,89,6.92,0.55,273.92,44,6,0.8,47.696,2.2,0.625,3.5,16,0,30,0,335,450
Tristana,542.76,82,6.19,0.65,246.76,32,7.205,0.45,51.54,3,0.656,1.5,22.0,3,30,0,325,550
Trundle,616.28,96,9.425,0.85,281.6,45,7.505,0.6,60.04,3,0.67,2.9,27.536,2.7,32.1,1.25,350,125
Tryndamere,625.64,98,8.51,0.9,100,0,0,0,61.376,3.2,0.670,2.9,24.108,3.1,32.1,1.25,345,125
Twisted Fate,521.76,82,5.505,0.6,265.84,38,6,0.8,49.954,3.3,0.651,3.22,20.542,3.15,30,0,330,525
Twitch,525.08,81,6.005,0.6,287.2,40,7.255,0.45,49.04,3,0.679,3.38,23.04,3,30,0,330,550
Udyr,593.32,99,8.71,0.75,270.4,30,7.505,0.45,58.286,3.2,0.658,2.67,25.47,4,32.1,1.25,345,125
Urgot,586.52,89,6.505,0.6,312.4,55,8.59,0.65,52.048,3.6,0.644,2.9,24.544,3.3,30,0,335,425
Varus,537.76,82,5.42,0.55,310.48,36,7.34,0.5,49.04,3,0.658,3,23.212,3.4,30,0,330,575
Vayne,498.44,83,5.42,0.55,231.8,35,6.97,0.4,53.46,3.25,0.658,4,19.012,3.4,30,0,330,550
Veigar,492.76,82,5.42,0.55,342.4,55,6,0.8,50.71,2.625,0.625,2.24,22.55,3.75,30,0,340,525
Vel'Koz,507.68,76,5.42,0.55,325.6,45,6,0.8,54.937875658,3.14159265359,0.625,1.36,21.88,3.5,30,0,340,525
Vi,582.8,85,9.01,0.9,295.6,45,8.09,0.65,55.88,3.5,0.644,2.5,25.88,3.5,32.1,1.25,350,125
Viktor,516.01,78,7.84,0.65,324,50,6,0.8,52.04,3,0.658,2.11,22.72,4,30,0,335,525
Vladimir,542.8,85,7.005,0.6,0,0,0,0,48.04,3,0.658,2,21.88,3.5,30,0,335,450
Volibear,584.48,86,8.09,0.65,270.4,30,8.09,0.65,59.544,3.3,0.658,2.67,26.38,3.5,32.1,1.25,345,125
Warwick,592.64,98,8.39,0.8,240.4,30,8.105,0.6,62.43,3.375,0.679,2.88,25.88,3.5,32.1,1.25,345,125
Wukong,577.8,85,6.19,0.65,265.84,38,8.04,0.65,59.876,3.2,0.658,3.0,24.88,3.5,32.1,1.25,345,175
Xerath,514.4,80,5.42,0.55,316.96,47,6,0.8,54.7,3,0.625,1.36,21.88,3.5,30,0,340,525
Xin Zhao,591.16,87,8.175,0.7,273.8,35,7.255,0.45,57.544,3.3,0.672,2.6,25.88,3.5,32.1,1.25,345,175
Yasuo,517.76,82,6.51,0.9,60,0,0,0,55.376,3.2,0.658,3.2,24.712,3.4,30,0,345,175
Yorick,563.8,85,8.175,0.7,293.8,35,6.755,0.45,57.58,3.5,0.625,3.0,25.048,3.6,32.1,1.25,345,125
Zac,614.6,95,7.92,0.55,0,0,0,0,59.67,3.375,0.638,1.6,23.88,3.5,32.1,1.25,335,125
Zed,579.4,80,7.09,0.65,200,0,50,0,54.712,3.4,0.658,3.1,26.88,3.5,32.1,1.25,345,125
Ziggs,524.4,80,6.255,0.6,334,50,6,0.8,54.208,3.1,0.656,2,21.544,3.3,30,0,325,550
Zilean,499.28,71,5.44,0.5,360.8,60,6,0.8,51.64,3,0.625,2.13,19.134,3.8,30,0,335,550
Zyra,479.32,74,5.69,0.5,334,50,6,0.8,53.376,3.2,0.625,2.11,20.04,3,30,0,325,575
